[2016-11-10][17:21:20] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171107 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x798488, password=
[2016-11-10][17:21:32] name=ÊÀ¼ÍÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171107 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x798488, password=
[2016-11-17][09:03:44] name=ÖĞĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x608488, password=
[2016-11-17][14:14:34] name=µÚÒ»´´ÒµÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x4f, reserved=0, license=0x858488, password=
[2016-11-18][15:05:46] name=½ğÖ¤¿Æ¼¼ product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x51a9f8, password=
[2016-11-18][15:12:06] name=½ğÖ¤¿Æ¼¼ product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x80, reserved=0, license=0x83a9f8, password=
[2016-11-18][15:20:43] name=½ğÖ¤¿Æ¼¼ product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x8ea9f8, password=
[2016-11-18][15:29:57] name=½ğÖ¤¿Æ¼¼ product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0xc0, reserved=0, license=0x47df28, password=
[2016-11-18][15:39:56] name=µÚÒ»´´ÒµÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0xcf, reserved=0, license=0x56a9f8, password=
[2016-11-21][13:12:14] name=ÖĞĞÅÖ¤È¯ product=KCBP licensetype=0x12 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x7eef50, password=
[2016-11-21][13:16:00] name=º£Í¨ÆÚ»õ¹É·İÓĞÏŞ¹« product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x86a7b8, password=
[2016-11-21][13:16:00] name=º£Í¨ÆÚ»õ¹É·İÓĞÏŞ¹« product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x86a7b8, password=
[2016-11-21][13:16:01] name=º£Í¨ÆÚ»õ¹É·İÓĞÏŞ¹« product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x86a7b8, password=
[2016-11-21][13:16:01] name=º£Í¨ÆÚ»õ¹É·İÓĞÏŞ¹« product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x86a7b8, password=
[2016-11-21][13:18:07] name=º£Í¨ÆÚ»õ¹É·İÓĞÏŞ¹«Ë product=KCBP licensetype=0x32 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x35a7b8, password=
[2016-11-21][13:18:23] name=º£Í¨ÆÚ»õ product=KCBP licensetype=0x32 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x35a7b8, password=
[2016-11-21][13:18:40] name=·½ÕıÖĞÆÚ product=KCBP licensetype=0x32 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x35a7b8, password=
[2016-11-21][13:19:19] name=µÚÒ»´´ÒµÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x35a7b8, password=
[2016-11-21][13:19:46] name=Ò»´´Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x35a7b8, password=
[2016-11-21][13:20:03] name=Ò»´´Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20171231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x35a7b8, password=
